rank,domain,health_score
336,invisalign.com.cn,0.970
337,davita.com,0.992
338,healthyplace.com,1.000
339,zolomeds.shop,1.000
340,innovist.com,0.985
341,thehealthsite.com,1.000
342,idsociety.org,0.919
343,asbestos.com,0.945
344,vitalant.org,0.860
345,tadalah.com,1.000
346,well.ca,0.976
347,incidecoder.com,0.869
348,ahn.org,1.000
349,psychiatrist.com,1.000
350,lensmartonline.com,0.916
351,sickkids.ca,0.999
352,sparkpeople.com,0.981
353,mykitsch.com,0.945
354,americasbest.com,0.915
355,organicfacts.net,0.994
356,sunlighten.com,0.956
357,radiologyinfo.org,0.988
358,practicebetter.io,0.949
359,honorhealth.com,0.976
360,onlymyhealth.com,1.000
361,nebraskamed.com,0.999
362,philips.co.uk,0.921
363,melanoma.org,0.933
364,mja.com.au,0.998
365,bluechew.com,0.924
366,drinkaware.co.uk,0.937
367,playastronaut.cc,1.000
368,tigertext.me,0.947
369,innerbody.com,0.999
370,poison.org,0.925
371,myupchar.com,0.957
372,smokefree.gov,0.983
373,mytherapist.com,0.888
374,amomama.com,0.927
375,elpub.ru,0.868
376,dapoxetined.org,0.989
377,lifelabs.com,0.922
378,sanfordhealth.org,0.977
379,mother.ly,0.996
380,trimrx.com,0.992
381,truemed.com,0.926
382,joinmidi.com,0.996
383,nmdp.org,0.983
384,alivecor.com,0.943
385,bmc.org,1.000
386,kyruus.com,0.851
387,scripps.org,0.994
388,brain.fm,0.964
389,doctor.com,1.000
390,unitypoint.org,0.978
391,zithromax24h.sbs,1.000
392,beachbodyondemand.com,0.987
393,ufhealth.org,0.993
394,zandahealth.com,0.863
395,tgh.org,0.998
396,barbend.com,0.894
397,wegovy.com,0.991
398,wellspan.org,0.964
399,acsh.org,0.971
400,caregiver.org,0.865
401,texashealth.org,0.987
402,trihealth.com,0.998
403,carenet.com,0.911
404,paulaschoice.com,0.922
405,myfooddata.com,0.874
406,ivermactin.sbs,1.000
407,mentalhelp.net,1.000
408,therecoveryvillage.com,0.960
409,teencounseling.com,0.997
410,zoe.com,0.883
411,mychart.org,0.980
412,sartorius.com,0.880
413,healthkart.com,0.994
414,healthlinkbc.ca,0.997
415,tandemdiabetes.com,0.969
416,easterseals.com,0.947
417,vaccines.gov,0.911
418,cerave.com,1.000
419,ozempic.com,0.982
420,maybelline.com,0.853
421,jillianmichaels.com,0.973
422,pristyncare.com,1.000
423,cancercenter.com,0.881
424,unimealplan.com,0.987
425,thegoodtrade.com,0.922
426,medanta.org,0.977
427,mda.org,0.980
428,pharmaceutical-journal.com,0.997
429,urologyhealth.org,0.993
430,charmtracker.com,0.862
431,revenuewell.com,0.951
432,utswmed.org,0.938
433,coveredca.com,0.879
434,hackensackmeridianhealth.org,0.980
435,pipingrock.com,0.928
436,sildenaguide.com,1.000
437,health.wa.gov.au,0.928
438,guardianlife.com,0.880
439,healthapplines.com,0.974
440,medvi.org,1.000
441,ketteringhealth.org,0.991
442,leica-microsystems.com,0.934
443,socialbookmarkssite.com,0.996
444,optimantra.com,0.973
445,yashodahospitals.com,1.000
446,amoxibest.top,1.000
447,vita4you.gr,0.892
448,weightwatchers.ca,0.909
449,fideliscare.org,0.927
450,thejns.org,0.998
451,nookal.com,0.934
452,minoximed.online,0.998
453,fitonapp.com,0.963
454,dentalcare.com,0.962
455,aapd.org,0.876
456,armakeup.com,0.915
457,owndays.com,0.976
458,betterhelp.co.il,0.988
459,acgme.org,0.928
460,marham.pk,1.000
461,gymondo.com,0.947
462,nutritiongeeks.co,0.994
463,antibx.shop,0.998
464,honest.com,0.976
465,optumrx.com,0.903
466,aaoinfo.org,1.000
467,baptisthealth.net,0.956
468,springhealth.com,0.868
469,foodrevolution.org,0.922
470,uroweb.org,0.881
471,beachbody.com,0.976
472,celiac.org,0.947
473,counselear.com,0.898
474,drinkag1.com,0.994
475,heartandstroke.ca,0.954
476,resilia.shop,0.991
477,clinikally.com,0.997
478,cancer.org.au,0.996
479,tryemsense.com,0.997
480,bcbsm.com,0.925
481,mountainroseherbs.com,0.933
482,em-consulte.com,0.984
483,drugpolicy.org,0.874
484,healthsparq.com,0.851
485,reachout.com,0.983
486,nourish.com,0.998
487,nuffieldhealth.com,0.991
488,netdoctor.co.uk,1.000
489,eatthismuch.com,0.875
490,ssmhealth.com,0.996
491,breastcancernow.org,0.979
492,asthmaandlung.org.uk,0.995
493,prometric-jp.com,0.851
494,nivabupa.com,0.918
495,arogga.com,0.927
496,directmeds.com,0.987
497,childrensnational.org,0.990
498,smithoptics.com,0.961
499,biolifeplasma.com,0.891
500,bbraun.com,0.995
501,healthshots.com,1.000
502,alto.com,0.993
503,earthtimes.org,0.861
504,wachanga.app,0.886
505,enlyte.com,0.873
506,fitandwell.com,0.996
507,brownhealth.org,0.950
508,vivian.com,0.982
509,unboundmedicine.com,0.873
510,kits.ca,0.983
511,add.org,0.936
512,fmolhs.org,0.990
513,healthfinder.gov,0.998
514,modento.com,0.901
515,gamban.com,0.928
516,glassesdirect.co.uk,0.988
517,immunize.org,0.999
518,counselling-directory.org.uk,0.998
519,teladoc.com,0.996
520,ushealthquick.com,0.999
521,ppdi.com,0.927
522,getheyfra.com,0.998
523,nutrafol.com,0.996
524,hexahealth.com,1.000
525,personality.co,0.903
526,ippharmus.com,1.000
527,goda.co,0.920
528,healthynewage.com,0.999
529,menopause.org,0.922
530,health-time.com,0.992
531,whfoods.com,0.953
532,uihealthcare.org,0.965
533,jolse.com,0.932
534,plumgoodness.com,0.987
535,bausch.com,0.920
536,empatica.com,0.973
537,newbeauty.com,0.998
538,nutrium.com,0.974
539,iocdf.org,0.978
540,laverty.com.au,0.988
541,philips.co.in,0.881
542,adopt.com,0.900
543,themancompany.com,0.957
544,f45training.com,0.906
545,oladoc.com,0.999
546,betterhelp.com.au,0.988
547,gosh.nhs.uk,0.966
548,platinumrx.in,0.990
549,medela.com,0.872
550,lookchem.com,0.959
551,oralb.com,0.984
552,bebodywise.com,0.973
553,treatwell.co.uk,0.898
554,mdlive.com,1.000
555,startqubi.com,0.885
556,hingehealth.com,0.982
557,oziva.in,0.992
558,madinamerica.com,0.997
559,muscleblaze.com,0.937
560,medicaldialogues.in,0.978
561,patientsknowbest.com,0.909
562,thesleepcompany.in,0.904
563,proteinatlas.org,0.886
564,mychartplus.org,0.921
565,psoriasis.org,0.991
566,seniorliving.org,0.858
567,rcseng.ac.uk,0.892
568,healthyturkiye.com,0.923
569,beminimalist.co,0.999
570,kci.go.kr,0.894
571,doctible.com,0.960
572,homeinstead.com,0.963
573,novantmychart.org,0.979
574,bestmed.com.au,0.946
575,myoresearch.com,1.000
576,onemedical.com,0.998
577,mypatientchart.org,0.957
578,melos.media,0.950
579,wibbi.com,0.979
580,drdoctor.co.uk,0.904
581,davisadvantage.com,0.987
582,r12imob.store,0.979
583,hubermanlab.com,0.992
584,zeelabpharmacy.com,0.999
585,foxtale.in,0.994
586,teachmeanatomy.info,1.000
587,kansashealthsystem.com,1.000
588,carehealthsource.com,1.000
589,nutrabay.com,0.922
590,devoted.com,0.959
591,nationaleczema.org,0.951
592,thrivecausemetics.com,0.895
593,osfhealthcare.org,0.998
594,osfmychart.org,0.972
595,nutrifactor.com.pk,0.895
596,uvmhealth.org,0.999
597,nethealth.com,0.880
598,evernorth.com,0.965
599,guardian.in,0.994
600,mental-impulse.com,0.972
601,dvago.pk,1.000
602,thecalmzone.net,0.881
603,certifiedfasting.com,0.998
604,uvahealth.com,0.989
605,droracle.ai,0.973
606,bellavitaorganic.com,0.955
607,optos.com,0.904
608,nutraingredients.com,0.917
609,lyrahealth.com,0.920
610,freseniusmedicalcare.com,0.981
611,betterhelporg.com,0.928
612,hyugalife.com,0.967
613,kivihealth.com,0.998
614,beardo.in,0.951
615,world-heart-federation.org,0.920
616,vitacave.com,0.944
617,healthtian.com,0.999
618,swiftqueue.co.uk,0.957
619,fooducate.com,0.927
620,mypennmedicine.org,0.959
621,ruraltempo.com,0.999
622,perio.org,0.996
623,apollodiagnostics.in,0.879
624,adf.org.au,0.976
625,patanjaliayurved.net,0.925
626,downdogapp.com,0.975
627,reneecosmetics.in,0.878
628,thedermaco.com,0.980
629,musely.com,0.998
630,avert.org,0.914
631,talktofrank.com,0.983
632,celsius.com,0.986
633,essentiamychart.org,0.949
634,varian.com,0.990
635,saeedghani.pk,0.984
636,parkinsons.org.uk,0.938
637,aqualogica.in,0.982
638,highfy.pk,0.974
639,lorealparis.co.in,0.936
640,sanfe.in,0.940
641,himalayawellness.com,0.939
642,activiagrs.com,0.996
643,uchospitals.edu,0.992
644,epocrates.com,0.999
645,flexdental.co,0.957
646,doc.lk,0.942
647,apprevork.com,0.886
648,thedeconstruct.in,0.981
649,olay.com,0.993
650,mbtitesthub.net,0.918
651,iq-test.cc,0.857
652,drsheths.com,0.974
653,mmumullana.org,0.889
654,templehealth.org,0.979
655,onedoc.ch,1.000
656,tayyarijeetki.in,0.985
657,celebrex365o24.com,1.000
658,autism-society.org,0.947
659,uspharmacist.com,1.000
660,mysugr.com,0.941
661,providerconnect.ca,0.930
662,diabetestrackerpro.com,0.932
663,brandsreviews.com,0.990
664,wellness.com,1.000
665,minimed.com,0.983
666,asam.org,0.958
667,mediweightlossclinics.com,0.996
668,best.me,0.978
669,ccf.org,0.984
670,pesi.com,0.980
671,inspire.com,0.990
672,parkview.com,0.995
673,nuawoman.com,0.896
674,optimumnutrition.co.in,0.939
675,ehospital.gov.in,0.923
676,letshyphen.com,0.930
677,mylghealth.org,0.944
678,uihc.org,0.955
679,mothersparsh.com,0.956
680,talkiatry.com,1.000
681,swissbeauty.in,0.916
682,powerofpositivity.com,0.931
683,avaros.ca,0.920
684,consciouschemist.com,0.963
685,flomattress.com,0.866
686,krishnaayurved.com,0.911
687,pharmacy-x.co.uk,0.856
688,zimmerbiomet.com,0.998
689,myfrido.com,0.946
690,ayuvya.com,0.984
691,dermatouch.com,0.997
692,prose.com,0.926
693,vilvahstore.com,0.976
694,invisalign.in,1.000
695,integralife.com,0.999
696,breannabeauty.com,0.943
697,mywishcare.com,0.950
698,priceline.com.au,1.000
699,myersbriggs.org,0.893
700,heartfoundation.org.au,0.978
701,revlon.com,0.920
702,tatvacare.in,0.997
703,mobic321.com,0.992
704,fitnessblender.com,0.948
705,familynes.in,0.982
706,jedfoundation.org,0.872
707,medbridge.com,0.852
708,gynoveda.com,0.999
709,topdoctors.co.uk,0.998
710,accolade.com,0.996
711,gosupps.com,0.961
712,arata.in,0.910
713,oaepublish.com,0.858
714,free-anatomy-quiz.com,0.995
715,olympusamerica.com,0.938
716,newamc.com,0.982
717,accuprobe.in,0.948
718,ayuslab.com,0.900
719,drorthooil.com,0.979
720,dynaceglobal.com,0.868
721,missrose.com.pk,0.918
722,nikomu.com,0.887
723,pappyjoe.com,0.861
724,reviewmentor.com,0.995
725,imohealth.com,0.923
726,nshealth.ca,0.990
727,iwantgreatcare.org,0.993
728,drsquatch.com,0.903
729,disabled-world.com,0.969
730,amtamassage.org,0.925
731,junction.com,0.854
732,luriechildrens.org,1.000
733,pancan.org,0.978
734,trans4mind.com,0.910
735,cilisapp.com,0.997
736,childhelp.org,0.851
737,keylevitraus.com,1.000
738,dental-monitoring.com,0.872
739,prostatecanceruk.org,0.991
740,meloxicam1x1.com,1.000
741,carbmanager.com,0.912
742,ccjm.org,0.998
743,meloxicam.health,0.998
744,bangkokhospital.com,0.979
745,allwomenstalk.com,0.951
746,bodylab24.de,0.863
747,healthywomen.org,1.000
748,brainfacts.org,0.999
749,ucihealth.org,0.999
750,gaiam.com,0.943
751,carestack.com,0.960
752,sleepopolis.com,0.895
753,singhealth.com.sg,0.911
754,garnierusa.com,0.958
755,emblemhealth.com,0.881
756,bsci.com,1.000
757,dbsalliance.org,0.998
758,napper.app,0.904
759,lifewave.com,0.986
760,psychology.org.au,0.995
761,pih.org,0.895
762,tadalafiapps.com,0.998
763,myalcon.com,1.000
764,bcbsal.org,0.984
765,alzint.org,0.936
