rank,domain,health_score,initial_list_row
291,uchicagomedicine.org,0.992,35423
292,hss.edu,0.992,36387
293,bswhealth.com,0.992,40551
294,acaai.org,0.992,42228
295,seattlechildrens.org,0.992,42667
296,aqi.in,0.992,48414
297,davita.com,0.992,49318
298,trimrx.com,0.992,54549
299,health-time.com,0.992,71649
300,oziva.in,0.992,75595
301,hubermanlab.com,0.992,77876
302,uchospitals.edu,0.992,84739
303,mobic321.com,0.992,90021
304,pharmacist.com,0.992,106869
305,testing.com,0.992,112390
306,aboutkidshealth.ca,0.992,116502
307,myprotein.com,0.991,23479
308,hse.ie,0.991,28378
309,commonspirit.org,0.991,32252
310,dignityhealth.org,0.991,35909
311,strawberrynet.com,0.991,43613
312,wegovy.com,0.991,56371
313,ketteringhealth.org,0.991,61719
314,resilia.shop,0.991,66001
315,nuffieldhealth.com,0.991,66996
316,psoriasis.org,0.991,76168
317,prostatecanceruk.org,0.991,95280
318,bausch.com.sg,0.991,108065
319,lecturio.com,0.991,117154
320,glpwinner.com,0.991,117483
321,fridayplans.com,0.991,118474
322,pathapplication.com,0.991,121016
323,wrshealth.com,0.991,124257
324,cmaj.ca,0.990,23676
325,mdedge.com,0.990,30294
326,stanfordhealthcare.org,0.990,32683
327,thebodyshop.com,0.990,32863
328,pampers.com,0.990,34507
329,examine.com,0.990,36253
330,nutritionfacts.org,0.990,37889
331,americanheart.org,0.990,41574
332,rula.com,0.990,44187
333,childrensnational.org,0.990,67659
334,fmolhs.org,0.990,69240
335,platinumrx.in,0.990,74117
336,varian.com,0.990,83583
337,brandsreviews.com,0.990,86104
338,inspire.com,0.990,86906
339,nshealth.ca,0.990,94320
340,relate.org.uk,0.990,98210
341,recovery.com,0.990,106142
342,marshfieldclinic.org,0.990,121256
343,medel.com,0.990,123955
344,www.nhs.uk,0.989,1935
345,stylevana.com,0.989,6887
346,cochrane.org,0.989,12943
347,mayoclinic.com,0.989,18019
348,noom.com,0.989,26255
349,dermstore.com,0.989,30453
350,netmums.com,0.989,36169
351,inova.org,0.989,42465
352,nationalbreastcancer.org,0.989,48724
353,dapoxetined.org,0.989,54302
